timestamp,container,cpu_usage,memory_usage
2024-12-25 19:02:02.012622595,nginx,556688900,9494528
2024-12-25 19:02:04.032613993,ml_api_1,8424770400,97652736
2024-12-25 19:02:06.056736231,ml_api_2,8218319800,100257792
2024-12-25 19:02:08.147766590,nginx,786341900,9396224
2024-12-25 19:02:10.161437035,ml_api_1,9251596100,97677312
2024-12-25 19:02:12.177048922,ml_api_2,9051587900,100196352
2024-12-25 19:02:14.260194778,nginx,1011939500,9547776
2024-12-25 19:02:16.274767160,ml_api_1,10087355600,97665024
2024-12-25 19:02:18.287167311,ml_api_2,9961189100,100175872
2024-12-25 19:02:20.433476925,nginx,1309775200,9588736
2024-12-25 19:02:22.453600168,ml_api_1,10993540000,97685504
2024-12-25 19:02:24.479073763,ml_api_2,10887785800,100175872
2024-12-25 19:02:26.705843925,nginx,1613018400,9486336
2024-12-25 19:02:28.724795341,ml_api_1,11965866100,97685504
2024-12-25 19:02:30.740827560,ml_api_2,11861763200,100192256
2024-12-25 19:02:32.819049358,nginx,1868949300,9510912
2024-12-25 19:02:34.866851330,ml_api_1,12766296100,97685504
2024-12-25 19:02:36.876406670,ml_api_2,12711277800,100274176
2024-12-25 19:02:38.953889847,nginx,2094682800,9654272
2024-12-25 19:02:40.968339920,ml_api_1,13636627900,97701888
2024-12-25 19:02:42.984184027,ml_api_2,13511811700,100196352
2024-12-25 19:02:45.086367130,nginx,2329253100,9568256
2024-12-25 19:02:47.099274635,ml_api_1,14458296800,97705984
2024-12-25 19:02:49.131056547,ml_api_2,14358519500,100495360
2024-12-25 19:02:51.232417583,nginx,2552874400,9580544
2024-12-25 19:02:53.245897293,ml_api_1,15250722200,97718272
2024-12-25 19:02:55.258764981,ml_api_2,15121809400,100184064
2024-12-25 19:02:57.337898970,nginx,2719572900,9523200
2024-12-25 19:02:59.353185892,ml_api_1,15493837400,97697792
2024-12-25 19:03:01.370452166,ml_api_2,15123255400,100184064
